Safeguard_Text,Extracted_Tag_Clean,Technique,Node_ID,Confidence,Semantic_Score,S,Cause_Text,Consequence_Text
LAHH-67791 high-high level alarm on Suction Scrubber PV-60820 will shutdown compressors CM- 101A/B,LAHH-67791 | PV-60820,Tier 1: Explicit Interlock/AF Tag,Node 4,High,N/A,1.0,"6"" manual valve on inlet to AF-73992 Bottoms Product Cooler inadvertently closed | 6"" manual valve on outlet from AF-73992 Bottoms Product Cooler inadvertently closed | LCV-14439 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Combi Tower Bottoms Product Pump PM- 104A/B trips | Manual valve on discharge from Combi Tower Bottoms Product Pump PM-59524A/B inadvertently closed | TCV-34810B malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | TCV-30806A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | 6"" manual valve from EX-17647 inadvertently closed","High level in Combi Tower T-56446; Potential to overfill T- 102; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Product flow out from the shell side of EX-17647 blocked; No overpressure concerns, as the max pressure from the upstream pumps PM-59524A/B is 59524 psig, and the shell side is MAWP 14664 psig; High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Potential to back-up flow to Combi Tower; High level in Combi Tower T-56446; Potential to overfill T-56446; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact"
LAHH-67791 high-high level alarm on Suction Scrubber PV-60820 will shutdown compressors CM- 101A/B,LAHH-67791 | PV-60820,Tier 1: Explicit Interlock/AF Tag,Node 5,High,N/A,1.0,"10"" manual valve on outlet from Combi Tower Overhead Pumps PM-73992A/B inadvertently closed | LCV-62100 fails closed or upstream/downstream manual valve(s) inadvertently closed | 12"" manual valve on inlet to Combi Tower Overhead Pumps PM-73992A/B inadvertently closed | 6"" manual valve on shell side outlet from EX-81314 inadvertently closed",Potential to build up liquid level in PV-56446 Accumulator; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Inability to send liquids out of PV-56446 Accumulator; Potential to overfill the Recycle Gas Compressor Suction Scrubber PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact
LAHH-67791 high-high level alarm on Suction Scrubber PV-60820 will shutdown compressors CM- 101A/B,LAHH-67791 | PV-60820,Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,1.0,Suction Scrubber pressure vessel PV-60820 demister pad saturated | Manual valve(s) on suction to Suction scrubber pump PM-87095A/B inadvertently closed | PCV-10363A malfunctions open or bypass inadvertently open | Manual valve(s) on discharge from Suction scrubber pump PM-87095A/B inadvertently closed | Suction scrubber pump PM-87095A/B failure,"Potential high level in Recycle Gas Compressor Suction Scrubber PV-60820; Potential to overfill PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact | Slow increase in pressure on Combi Tower T-56446; Potential carryover of water to RGC Potential to damage compressor leading to financial impact | Reduced pressure in Combi Tower T-56446, increased level in Combi Tower Accumulator pressure vessel PV-56446; Potential to overfill PV-56446 and carryover to Recycle Gas Compressor Suction Scrubber PV-60820; Potential to overfill PV-60820 and send liquids to the RGC; Potential to damage compressor leading to financial impact"
LAHH-80748 high-high level alarm on PV-14664 will initiate unit shutdown,LAHH-80748 | PV-14664,Tier 1: Explicit Interlock/AF Tag,Node 12,High,N/A,3.0,Failure to pump out level in PV-14664 Flare KO Drum,High level in PV-14664; Potential liquid carryover to flare; Potential liquid out of the flare with potential fire and area personnel impact
LAHH-80748 high-high level alarm on PV-14664 will initiate unit shutdown,LAHH-80748 | PV-14664,Tier 1: Explicit Interlock/AF Tag,Node 43,High,N/A,4.0,Manual valve(s) closed on hydrocarbon header from Flare knockout drum,"Potential for liquid carryover to flare, environmental impact, potential burning liquid fallout from flare, personnel impact | Potential for liquid carryover to flare, resulting in shutdown and financial impact"
LAL-62100 low level alarm on PV-56446 will shutdown pumps PM73992A/B,LAL-62100 | PV-56446,Tier 1: Explicit Interlock/AF Tag,Node 5,High,N/A,4.0,FCV-28836 reflux valve fails open or bypass valve open | Level control valve LCV-62100 light naphtha to storage fails open or bypass opened,"Potential loss of level in Accumulator PV-56446; Loss of suction to Combi Tower Overhead Pumps PM-73992A/B; Potential to cavitate pumps resulting in potential seal failure, loss of containment, potential ignition and personnel impact | Excess reflux sent to Combi Tower T-56446, potential increase in pressure, and potential to overpressure column, loss of containment, potential ignition and personnel impact"
LALL-31536 low- low alarm on Suction Scrubber P-11354 will shutdown pumps PM- 213A/B,LALL-31536,Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,4.0,Manual valve(s) on suction to Suction scrubber pump PM-91045A/B inadvertently closed | Manual valve(s) on discharge from Suction scrubber pump PM-91045A/B inadvertently closed | Suction scrubber pump PM-91045A/B fails to stop,"Potential to pump out all level in Suction Scrubber PV-11354; Potential loss of suction to pumps PM-91045A/B with potential cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Loss of suction to pumps PM-91045A/B with potential cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Loss of discharge from pumps PM-91045A/B with potential deadhead; Potential seal failure with loss of containment, potential ignition and personnel impact"
LALL-58792 low- low alarm on Suction Scrubber P-60820 will shutdown pumps PM- 113A/B,LALL-58792,Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,4.0,Manual valve(s) on suction to Suction scrubber pump PM-87095A/B inadvertently closed | Suction scrubber pump PM-87095A/B fails to stop | Manual valve(s) on discharge from Suction scrubber pump PM-87095A/B inadvertently closed,"Loss of suction to pumps PM-87095A/B with potential cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact | Loss of discharge from pumps PM-87095A/B with potential deadhead; Potential seal failure with loss of containment, potential ignition and personnel impact | Potential to pump out all level in Suction Scrubber PV-60820; Potential loss of suction to pumps PM-87095A/B with potential cavitation; Potential seal failure with loss of containment, potential ignition and personnel impact"
LALL-71326 low- low level alarm on Naphtha Stabilizer Accumulator pressure vessel PV-33219 trips Naphtha Stabilizer Overhead Pumps PM- 201A/B,LALL-71326 | PV-33219,Tier 1: Explicit Interlock/AF Tag,Node 21,High,N/A,4.0,LCV-26713 on Y-Grade product line fails open or bypass inadvertently opened,"Loss of level in Naphtha Stabilizer Accumulator pressure vessel PV-33219, potential to run Naphtha Stabilizer Overhead Pump PM-33219A/B dry, pump cavitation and damage, potential release with personnel impact"
LIT-74055 low level interlock on PV- 106 will trip pumps PM- 119A/B and PM- 120A/B,LIT-74055,Tier 1: Explicit Interlock/AF Tag,Node 13,High,N/A,3.0,Ammonia Forwarding Pump PM-67967A/B fail to turn off,Potential to pull vacuum on PV-76255 Ammonia Storage Tank; Potential release of aqueous ammonia with potential personnel impact
LIT-74055 low level interlock on PV- 106 will trip pumps PM- 119A/B and PM- 120A/B,LIT-74055,Tier 1: Explicit Interlock/AF Tag,Node 29,High,N/A,3.0,Ammonia Forwarding Pump PM-24946A/B fail to turn off,Potential to pull vacuum on PV-76255 Ammonia Storage Tank; Potential release of aqueous ammonia with potential personnel impact
LSL-54389 low level switch will shut off power for the grids DT- 101A/B/C,LSL-54389,Tier 2: Semantic NLP Match,Node 34,Medium,0.393,2.0,PCV-55414/40591 (back pressure control valve) fails open or bypass inadvertently open,Potential loss of pressure in Desalter D-81314/201; Potential to expose the grid DT-81314A/B/C with potential to damage the grid from exposure; Potential financial impact and downtime
LSL-83912 low level switch will shut off power for grids DT- 201A/B/C,LSL-83912,Tier 2: Semantic NLP Match,Node 34,Medium,0.436,2.0,PCV-55414/40591 (back pressure control valve) fails open or bypass inadvertently open,Potential loss of pressure in Desalter D-81314/201; Potential to expose the grid DT-81314A/B/C with potential to damage the grid from exposure; Potential financial impact and downtime
LSLL-42521 low- low level switch on PV- 108 Lube Oil Separator will shutdown CM- 101A/B compressor,LSLL-42521,Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,2.0,Pressure control valve PCV-82542 fails open (compressor discharge) | Recycle Compressor CM-81314A/B mechanical seal leaks,"Reduced residence time in PV-48603 Lube Oil Separator Vessel; Potential inability to separate out off-gas; Potential to damage the CM-81314A/B compressor casing, slide valve, and bearings; Potential to send contaminated lube oil to Heater; Potential asset damage; Potential environmental impact | Loss of barrier fluid; Potential loss of containment of barrier fluid; Potential release of lube oil with entrained gas; Potential environmental/financial impact"
LSLL-44190 low- low level switch on PV- 208 Lube Oil Separator will shutdown CM- 201A/B compressor,LSLL-44190,Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,2.0,Recycle Compressor CM-33219A/B mechanical seal leaks | Pressure control valve PCV-15581 fails open (compressor discharge),"Reduced residence time in PV-82745 Lube Oil Separator Vessel; Potential inability to separate out off-gas; Potential to damage the CM-33219A/B compressor casing, slide valve, and bearings; Potential to send contaminated lube oil to Heater; Potential asset damage; Potential environmental impact | Loss of barrier fluid; Potential loss of containment of barrier fluid; Potential release of lube oil with entrained gas; Potential environmental/financial impact"
Level alarm low LALL-79796 on Naphtha Stabilizer Accumulator pressure vessel PV-81314 trips Naphtha Stabilizer Overhead Pumps PM- 101A/B,LALL-79796 | PV-81314,Tier 1: Explicit Interlock/AF Tag,Node 3,High,N/A,4.0,LCV-92846 on Y-Grade product line fails open or bypass inadvertently opened,"Loss of level in Naphtha Stabilizer Accumulator pressure vessel PV-81314, potential to run Naphtha Stabilizer Overhead Pump PM-81314A/B dry, pump cavitation and damage, potential release with personnel impact"
"Lower Explosive Limit alarms AT- 9401/9402/9403/9404 around the Naphtha Manifold will shutdown pumps P-6, P-2A/B with 1oo4 voting",General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,4.0,"MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Transfer Pump P-2 when tank is in transfer to pipeline | Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | High naphtha flow from Transfer Pumps P-2A/B (3100 vs 18888 gpm design vs required) out to product terminal | Blocked outlet of Transfer Pump P-2A/B or 38095"" valve closed on product manifold out of facility | More recirculation outflow than inflow (operator error) | MOV-94883/ 9415 closed or MOV- 9412/9410 closed on suction to Transfer Pump P- 2A/B or strainer plugs | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation","Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, not expected to overpressure downstream piping, loss of flow to Light Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Increased flow of naphtha out of naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, low level and loss of flow to Light Naphtha pump P-2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, loss of flow to Light Naphtha P- 2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Loss of flow to Light Naphtha Recirculation Pump P-6, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Loss of flow from Light Naphtha Recirculation Pump P-6, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact"
"Lower Explosive Limit alarms AT- 9401/9402/9403/9404 around the Naphtha Manifold will shutdown pumps P-6, P-2A/B with 1oo4 voting",General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 39,High,N/A,4.0,"MOV-59888/ 9422/ 9411/ 9412 closed on outlet of tank TK-24946-25/TK-61869-15 | Blocked outlet of Transfer Pump P-2A/B or 38095"" valve closed on product manifold out of facility | MOV-94883/ 9415 Blocked inlet valve to Transfer Pump P-2A/B or strainer plugs","Decreased flow of naphtha from naphtha tank TK-24946- 25/TK-61869-15; Loss of flow to Light Naphtha P-2A/B, potential cavitation and seal leak, release of naphtha to grade, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, loss of flow to Light Naphtha P- 2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946-25 and TK-61869-15 to Transfer Pump P-2A/B, loss of flow to Heavy Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact"
"Lower Explosive Limit alarms AT- 9401/9402/9403/9404 around the Naphtha Manifold will shutdown pumps P-6, P-2A/B with 1oo4 voting",General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 44,High,N/A,4.0,"12"" valve closed on suction to Pump P-7 or strainer plugs | Pump P-HX stops | 10"" valve closed on discharge of Pump P- HX or 8"" valve closed on inlet of AGO Exchangers HX-1/2 | 8"" valve closed on discharge of Pump P-7","Loss of Rerun flow to Pump P-7, potential cavitation and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage | Blocked flow from Pump P-7, potential deadhead and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage"
Mechanical integrity program,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 21,Medium,0.41,4.0,Elevated chlorides,Excess corrosion with potential loss of containment and potential ignition
Mechanical integrity program,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 3,Medium,0.41,4.0,Elevated chlorides,Excess corrosion with potential loss of containment and potential ignition
Mechanical integrity program for piping inspection,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 46,Medium,0.415,,Leak from any piping flange/ pump seal,"Potential release of gas/ liquid to atmosphere, potential fire/explosion, personnel injury, environmental impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 1,Medium,0.427,1.0,Tube leak/rupture on Heat Exchanger EX- 101 | Tube leak/rupture on Heat Exchanger EX- 102,"Shell and Tube MAWP both listed as 14664 psig @ 450 degF; Feed typically flows through the tubes at ~200-250 psig, therefore no concern of tube rupture; Loss of feed to product, product quality issue; Negligible downtime"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 10,Medium,0.427,2.0,What if air damper fails open? | Pressure control valve PCV-87570 set too high | FCV-55048 fails closed or manual valve(s) inadvertently closed | FCV-44346 fails closed or manual valve(s) inadvertently closed | What if vessel temperature control loop fails open or closed? | FCV-97246 malfunctions closed or manual valve(s) inadvertently closed | FCV-44346 on hot oil from Diesel Stripper Reboiler EX-70814 fails open or bypass inadvertently open | Hot Oil Circulation Pump PM- 102A/B/C/D aging and hot oil quality | What if fuel supply is cut off? | FCV-97246 on hot oil from Kero Stripper Reboiler EX-75469 fails open or bypass inadvertently open | What if fuel supply regulator fails closed? | What if fuel contains excessive solids?,"Loss of hot oil circulation through EX-75469 Kero Stripper Reboiler; Potential off-spec product with potential financial impact | Positive pressure and Hot Oil Heater F-81314 shuts down; Potential off-spec product with potential environmental and financial impact | Potential for burner pluggage, loss of flame at one or more burners; Hot Oil Heater F-81314 shuts down; Potential off-spec product with potential environmental and financial impact | Loss of firing; Hot Oil Heater F-81314 shuts down; Potential off-spec product with potential environmental and financial impact | Fails closed - Hot Oil Heater F-81314 shuts down on low pressure; Unit would go to re-run mode; Potential off-spec product with potential environmental and financial impact | Potential to pop the rupture disk, resulting in PSV-59017 release and unintended flaring event, potential environmental/financial impact | Loss of hot oil circulation through Diesel Stripper Reboiler EX-70814; Potential off-spec product with potential financial impact | High frequency of Hot Oil Circulation Pump PM- 102A/B/C/D seal failures (currently weekly). Pump temperatures require significant time for cooling before maintenance, requiring downtime | Potential reduced hot oil flow to other heat exchangers; Potential off-spec product with financial impact | Loss of hot oil circulation through Naphtha Stabilizer Reboiler EX-76255; Potential off-spec product with potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 11,Medium,0.427,4.0,Solid contamination upstream of PM- 416A/B (only PM-12480C has inline strainer) | Blocked in piping on LR-86126/502 Truck Loading Skid | Ladder hand rails on Storage Spheres at improper height (per OSHA standard),Potential off-spec product; Potential pump damage from solid contamination and financial impact Operations normally only run PM-12480C due to it being the only pump with an inline strainer | Potential thermal expansion and release with potential ignition and personnel impact | Ladder hand rails on Storage Spheres at improper height (per OSHA standard); Potential fall hazard to personnel
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 12,Medium,0.427,1.0,Both BM-85833-A/B flare blowers online | Loss of fuel gas supply to the flare,"Loss of sweep gas, lowered BTU content of fuel; Potential incomplete combustion; Potential environmental/financial impact | Excessive combustion air; Potential to snuff out the flames; Potential incomplete combustion; Potential environmental/financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 13,Medium,0.427,4.0,External fire around PV-76255 Ammonia Storage Tank | Closure of vapor return line on tank filling,Potential overpressure of Ammonia Storage Tank PV-76255 with release of aqueous ammonia to surrounding area and potential personnel impact | Potential thermal expansion and release with potential personnel impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 14,Medium,0.427,1.0,FCV-80031 fails closed or upstream/downstream manual valve(s) inadvertently closed | FCV-65350 fails closed or upstream/downstream manual valve(s) inadvertently closed | PCV-19542 fails fully closed | PCV-19542 fails fully open | FCV-51327 fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of sweep gas to flare header; Potential incomplete combustion; Potential environmental/financial impact | Loss of stripping gas to T-56446 Combi Tower; Potential off- spec AGO product with potential financial impact | Inability to reduce natural gas to 89696 psig; Potential larger flame at flare; Potential heater shutdown; Potential environmental/financial impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 16,Medium,0.427,2.0,Access to outfall #1 and #2 for sampling | Manual valve on discharge from Contact Water Sump Pump PM-48584A/B inadvertently closed,Potential to deadhead Contact Water Sump Pump PM- 115A/B with potential pump damage and financial impact | Requires personnel to go through standing water; Potential snakes in area with potential personnel impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 17,Medium,0.427,3.0,Low ambient temperature | Potential corrosion due to wet air | External fire around PV-53688 Air Receiver | Air filter plugged,"Plant shutdown, valves should revert to their fail-safe positions; Potential financial impact/downtime | Potential freezing air dryers; Potential loss of instrument air to downstream users; Plant shutdown, valves should revert to their fail-safe positions; Potential financial impact/downtime | Potential thermal expansion and release with potential ignition and personnel impact | Potential increased corrosion in air compressor system, ultimate potential loss of containment and financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 19,Medium,0.427,1.0,Tube leak/rupture on Heat Exchanger EX- 202 | Tube leak/rupture on Heat Exchanger EX- 201,"Shell and Tube MAWP both listed as 14664 psig @ 450 degF; Feed typically flows through the tubes at ~200-250 psig, therefore no concern of tube rupture; Loss of feed to product, product quality issue; Negligible downtime"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 21,Medium,0.427,4.0,Naphtha Stabilizer Condenser AF-33219- 1/2 fin fan access for maintenance or cleaning | Cooling during Naphtha Stabilizer Column T-33219 shutdown,"Potential for vacuum as Naphtha Stabilizer Column T- 201 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Currently no means for personnel to tie off for fall protection, potential fall hazard, personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 22,Medium,0.427,4.0,"TCV-47043B malfunctions openor bypass inadvertently open | Cooling during Combi Tower T-92182 shutdown | 6"" manual valve onbypass around EX-11689 shell side inadvertently opened | TCV-78020A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Bottoms Product Cooler AF-99986-1/2 fin fan motor mechanical failure/throws a blade","Inadvertently bypass flow around AF-99986 Bottoms Product Cooler; Potential to send higher temperature product downstream; If downstream HX-1/2 exchangers are offline, potential to send higher temperature (up to ~ 380 degF) product to the storage tanks TK-61869-13/100-14/120-22/120-23; Max temp of tanks is 97415 degF, potential to exceed tank design temperature; Potential IFR roof damage; Potential financial impact and environmental impact | No longer heating up the wash water for the Desalter using EX-47697A/B; Potential to send colder temperature wash water to the Desalter; Potential cold Desalter temperature; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact | Potential for vacuum as Combi Tower T-99986 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Loss of individual AF-99986-1/2 fin fan; Potential to send higher temperature product downstream; If downstream HX-1/2 exchangers are offline, potential to send higher temperature (up to ~ 380 degF) product to the storage tanks TK-61869-13/100-14/120- 22/120-23; Max temp of tanks is 97415 degF, potential to exceed tank design temperature; Potential IFR roof damage; Potential financial impact and environmental impact | Potential reduced ability to heat the feed in EX-11689; Potential for low feed temperature into Naphtha Stabilizer Column T-33219; Potential reduced rates; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 23,Medium,0.427,1.0,LCV-34380 fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of light naphtha product to storage; Potential financial impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 24,Medium,0.427,4.0,Cooling during Heavy Naphtha Stripper T-99986 shutdown | FCV-38704 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed,"Potential for vacuum as Heavy Naphtha Stripper T-99986 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | High level in Heavy Naphtha Stripper T-99986, potential to overfill T-99986 back to Combi Tower T-92182, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 25,Medium,0.427,4.0,"Inadvertent opening of spec valve to rerun | FCV-80717 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed or 8"" manual valve on kero product to rerun inadvertently closed | 8"" manual valve onbypass around EX-99986 inadvertently opened | Cooling during Kero Stripper T-80996 shutdown","Potential for vacuum as Kero Stripper T-80996 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Inefficient operation - sending product to rerun; Potential financial impact | Potential reduced ability to heat the feed in EX-99986; Potential for low feed temperature into Naphtha Stabilizer Column T-33219; Potential to swing T-33219; Potential offspec product/quality; Potential financial impact | Potential Combi Tower T-92182 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 26,Medium,0.427,4.0,"LCV-44082 fails open or bypass inadvertently open | 6"" manual bypass around EX-80996 inadvertently open | Inadvertent opening of spec valve to rerun | Cooling during Diesel Stripper T-11689 shutdown","Potential for vacuum as Diesel Stripper T-11689 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Potential to dry out Combi Tower T-92182 tray, leading to potential tray damage and financial impact | Inefficient operation - sending product to rerun; Potential financial impact | Potential reduced ability to heat the feed in EX-80996; Potential for low feed temperature into Naphtha Stabilizer Column T-33219; Potential to swing T-33219; Potential offspec product/quality; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 27,Medium,0.427,2.0,Tube leak/rupture on EX-59044 Gas-to- Gas Exchanger | BDV-45396/23619 malfunctions open when not needed | Loss of power | TCV-40186 receives incorrect signal (opens inadvertently) | Pressure control valve PCV-14757 fails open to flare | Compressor CM-33219A/B designed for clean-gas service,"Compressor CM-33219A/B shuts down upon loss of power; Potential flaring event with potential environmental impact | Inadvertently sending compressor suction gas to vent header; Potential unplanned flaring event with potential environmental impact | Potential compressor wear and tear due to dirty gas service, requiring excessive maintenance activities; Potential for environmental impacts and financial impacts due to increased flaring events | Inadvertently sending compressor discharge flow around Gas-to-Gas Exchanger EX-59044; Inability to heat suction gas with EX-59044; Potential to send lower temperature gas to compressor; Potential liquids in compressor resulting in potential compressor damage and financial impact | Potential to overpressure and blow compressor seals; Potential to contaminate compressor lube oil; Potential compressor damage and financial impact | Unintended flaring event; Potential environmental impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 28,Medium,0.427,2.0,What if air damper fails open? | FCV-14070 on hot oil from Kero Stripper Reboiler EX-99938 fails open or bypass inadvertently open | FCV-90230 fails closed or manual valve(s) inadvertently closed | What if vessel temperature control loop fails open or closed? | FCV-49897 fails closed or manual valve(s) inadvertently closed | FCV-14070 malfunctions closed or manual valve(s) inadvertently closed | What if fuel supply is cut off? | Pressure control valve PCV-12238 set too high | Hot Oil Circulation Pump PM- 202A/B/C/D aging and hot oil quality | What if fuel supply regulator fails closed? | FCV-90230 on hot oil from Diesel Stripper Reboiler EX-70814 fails open or bypass inadvertently open | What if fuel contains excessive solids?,"Loss of firing; Hot Oil Heater F-33219 shuts down; Potential off-spec product with potential environmental and financial impact | Fails closed - Hot Oil Heater F-33219 shuts down on low pressure; Unit would go to re-run mode; Potential off-spec product with potential environmental and financial impact | High frequency of Hot Oil Circulation Pump PM- 202A/B/C/D seal failures (currently weekly). Pump temperatures require significant time for cooling before maintenance, requiring downtime | Potential to pop the rupture disk, resulting in PSV-23922 release and unintended flaring event, potential environmental/financial impact | Loss of hot oil circulation through Naphtha Stabilizer Reboiler EX-48495; Potential off-spec product with potential financial impact | Positive pressure and Hot Oil Heater F-33219 shuts down; Potential off-spec product with potential environmental and financial impact | Loss of hot oil circulation through Diesel Stripper Reboiler EX-13655; Potential off-spec product with potential financial impact | Potential reduced hot oil flow to other heat exchangers; Potential off-spec product with financial impact | Potential for burner pluggage, loss of flame at one or more burners; Hot Oil Heater F-33219 shuts down; Potential off-spec product with potential environmental and financial impact | Loss of hot oil circulation through EX-99938 Kero Stripper Reboiler; Potential off-spec product with potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 29,Medium,0.427,4.0,External fire around PV-76255 Ammonia Storage Tank | Closure of vapor return line on tank filling,Potential overpressure of Ammonia Storage Tank PV-76255 with release of aqueous ammonia to surrounding area and potential personnel impact | Potential thermal expansion and release with potential personnel impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 3,Medium,0.427,4.0,Cooling during Naphtha Stabilizer Column T-81314 shutdown | Naphtha Stabilizer Condenser AF-81314-1/2 fin fan access for maintenance or cleaning,"Potential for vacuum as Naphtha Stabilizer Column T-81314 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Currently no means for personnel to tie off for fall protection, potential fall hazard, personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 30,Medium,0.427,1.0,PCV-82628 fails fully open | FCV-90861 fails closed or upstream/downstream manual valve(s) inadvertently closed | FCV-48000 fails closed or upstream/downstream manual valve(s) inadvertently closed | PCV-82628 fails fully closed | FCV-50480 fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of sweep gas to flare header; Potential incomplete combustion; Potential environmental/financial impact | Loss of stripping gas to T-92182 Combi Tower; Potential off- spec AGO product with potential financial impact | Inability to reduce natural gas to 89696 psig; Potential larger flame at flare; Potential heater shutdown; Potential environmental/financial impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 32,Medium,0.427,2.0,Manual valve on discharge from Contact Water Sump Pump PM-33637A/B inadvertently closed | Access to outfall #1 and #2 for sampling,Potential to deadhead Contact Water Sump Pump PM- 215A/B with potential pump damage and financial impact | Requires personnel to go through standing water; Potential snakes in area with potential personnel impact
