Extracted_Tag_Clean,Alarm_Type,Technique,Confidence,Safeguard_Text,Semantic_Score,Cause_Text,Consequence_Text,Node_ID,S,L,R
FCV73778,HI,Tier 1/2: Deterministic,High,Flow control valve FCV-73778/ 22425 will control flow to each Splitter tower and will alarm at high flow and prompt operator response,N/A,All pumps PM-53688A/B/C online,"Increased feed to Naphtha Stabilizer Column T-81314/201, reduced temperature in T-81314/201, potential for off-spec product, potential financial impact | Increased flow of Feed out of Feed Tanks TK-97415-1/2/3, decreased level in Feed tanks, potential to land roof, potential explosive atmosphere in vapor space, potential explosion, personnel injury, environmental impact, asset damage",Node 43,4.0,2.0,2.0
FS46168,LO,Tier 1/2: Deterministic,High,Flow switch FS- 46168/ 09 low flow shutdown on pump P- 2A/B and will alarm to prompt operator response,N/A,"MOV-94883/ 9415 closed or MOV- 9412/9410 closed on suction to Transfer Pump P- 2A/B or strainer plugs | Blocked outlet of Transfer Pump P-2A/B or 38095"" valve closed on product manifold out of facility | MOV-30207 open on pump P-2A/B bypass | More recirculation outflow than inflow (operator error) | High naphtha flow from Transfer Pumps P-2A/B (3100 vs 18888 gpm design vs required) out to product terminal | MOV-59888/ 9422/ 9411/ 9412 closed on outlet of tank TK-24946-25/TK-61869-15 | MOV-94883/ 9415 Blocked inlet valve to Transfer Pump P-2A/B or strainer plugs | Transfer Pump P-2A/B stops","Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, loss of flow to Light Naphtha P- 2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, not expected to overpressure downstream piping, loss of flow to Light Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Reduced suction to pumps P-2A/B, reduced pump discharge pressure; Potential reduced efficiency due to low suction pressure and potential reduced flow of naphtha to pipeline; Potential financial impact | Increased flow of naphtha out of naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, low level and loss of flow to Light Naphtha pump P-2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946- 25/TK-61869-15; Loss of flow to Light Naphtha P-2A/B, potential cavitation and seal leak, release of naphtha to grade, potential ignition and personnel impact | Inability to flow product to pipeline; Potential reduced throughput; Potential financial impact | Decreased flow of naphtha from naphtha tank TK-24946-25 and TK-61869-15 to Transfer Pump P-2A/B, loss of flow to Heavy Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact","Node 38, Node 39",4.0,2.0,2.0
FS9125,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9125 low flow shutdown on pump P- HX with alarm,N/A,"12"" valve closed on suction to Pump P-7 or strainer plugs | Pump P-7 stops | 8"" valve closed on discharge of Pump P-7 | Pump P-HX stops | 10"" valve closed on discharge of Pump P- HX or 8"" valve closed on inlet of AGO Exchangers HX-1/2 | All 8"" manual valves closed on feed manifold outlet of tank TK-97415/1/2/3 to Transfer Pump P-HX when transferring from tank to tank","Loss of Rerun flow to Pumps P-7 and P-HX, potential cavitation and seal leak of P-HX, release of rerun/ condensate to grade, potential seal fire or explosion, personnel injury, environmental impact | Decreased flow of Rerun tank to tank transfer rate, delay in transfer; Potential financial impact | Blocked flow from pump P-HX; Potential pump deadhead and seal leak of P-HX, release of rerun/ condensate to grade, potential seal fire or explosion, personnel injury, environmental impact",Node 44,4.0,2.0,2.0
FS9202,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9202/04 low flow shutdown on pump P- 1A/B with alarm,N/A,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility | MOV-72031 /9326 closed on outlet of tank TK-61869-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline","No flow of kero from kero tanks TK-61869-11/20 and 85935-10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | No flow of kero from kero tanks TK-61869-11/20 and 85935- 10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Loss of flow from kero P-1A/B, potential deadhead and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869-12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869- 12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Blocked flow out of Transfer Pump P-1A/B, potential deadhead and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact","Node 40, Node 41",4.0,1.0,2.0
FS9204,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9202/04 low flow shutdown on pump P- 1A/B with alarm,N/A,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility | MOV-72031 /9326 closed on outlet of tank TK-61869-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline","No flow of kero from kero tanks TK-61869-11/20 and 85935-10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | No flow of kero from kero tanks TK-61869-11/20 and 85935- 10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Loss of flow from kero P-1A/B, potential deadhead and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869-12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Decreased flow of diesel from Diesel Tanks TK-61869- 12/21 to Transfer Pump P-1A/B, loss of flow to P-1A/B, potential cavitation and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact | Blocked flow out of Transfer Pump P-1A/B, potential deadhead and seal leak, release of diesel to grade, potential seal fire, personnel injury, environmental impact","Node 40, Node 41",4.0,1.0,2.0
FS9212,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9212 low flow shutdown on pump P-4 with alarm,N/A,"12"" or 41824"" valve closed on suction to Kero Transfer Pump P-4 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-4 | 12"" or 41824"" valve closed on suction to Transfer Pump P-4 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-4 to other tank (when performing tank transfer)","Loss of flow to Kero to Transfer Pump P-4, potential cavitation and seal leak, release of kero to atmosphere, potential seal fire, personnel injury, environmental impact | Loss of flow from Kero to Transfer Pump P-4, potential deadhead and seal leak, release of kero to atmosphere, potential seal fire, personnel injury, environmental impact | Loss of flow to Diesel to Transfer Pump P-4, potential cavitation and seal leak, release of diesel to atmosphere, potential seal fire from seal, personnel injury, environmental impact | Loss of flow from Transfer Pump P-4, potential deadhead and seal leak, release of diesel to atmosphere, potential seal fire from seal, personnel injury, environmental impact","Node 40, Node 41",4.0,1.0,2.0
FS9302,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9302/04 low flow shutdown on pump P- 3A/B with alarm,N/A,"MOV-19780 /9327/ 9328 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | MOV-85766/ 06/ 07 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | MOV-42589/12 closed on inlet valve to Transfer Pump P-3A/B or strainer plugs | Blocked 14"" manual outlet valve of Transfer Pump P-3A/B","Decreased flow of AGO from AGO Tanks TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B, loss of flow to AGO P- 3A/B, potential cavitation and seal leak, release of AGO to grade, potential ignition and personnel impact | Blocked flow from Transfer Pump P-3A/B, potential deadhead and seal leak, release of AGO to grade, potential ignition and personnel impact",Node 42,4.0,1.0,2.0
FS9304,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9302/04 low flow shutdown on pump P- 3A/B with alarm,N/A,"MOV-19780 /9327/ 9328 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | MOV-85766/ 06/ 07 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | MOV-42589/12 closed on inlet valve to Transfer Pump P-3A/B or strainer plugs | Blocked 14"" manual outlet valve of Transfer Pump P-3A/B","Decreased flow of AGO from AGO Tanks TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B, loss of flow to AGO P- 3A/B, potential cavitation and seal leak, release of AGO to grade, potential ignition and personnel impact | Blocked flow from Transfer Pump P-3A/B, potential deadhead and seal leak, release of AGO to grade, potential ignition and personnel impact",Node 42,4.0,1.0,2.0
FS9402,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9402 low flow shutdown on pump P-6 with alarm,N/A,"Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Transfer Pump P-2 when tank is in transfer to pipeline | More recirculation outflow than inflow (operator error) | High naphtha flow from Transfer Pumps P-2A/B (3100 vs 18888 gpm design vs required) out to product terminal","Loss of flow to Light Naphtha Recirculation Pump P-6, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Loss of flow from Light Naphtha Recirculation Pump P-6, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact",Node 38,4.0,1.0,2.0
FS9404,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9404 low flow shutdown on pump P-7 with alarm,N/A,"12"" valve closed on suction to Pump P-7 or strainer plugs | 8"" valve closed on discharge of Pump P-7 | Pump P-HX stops | 10"" valve closed on discharge of Pump P- HX or 8"" valve closed on inlet of AGO Exchangers HX-1/2","Loss of Rerun flow to Pump P-7, potential cavitation and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage | Blocked flow from Pump P-7, potential deadhead and seal leak, release of rerun to atmosphere, potential seal fire from seal, personnel injury, environmental impact, asset damage",Node 44,4.0,1.0,2.0
FS9626,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9626 low flow shutdown on pump P- 17 with alarm and operator response,N/A,Manual valve on tank outlet inadvertently closed. | Manual valve closed on suction of Pump P-98747 or strainer plugs | Manual valve closed on Discharge of Pump P-98747 | Manual valve closed on suction of Pump PM-95795A/B or strainer plugs | Pump PM-95795A/B stops,"Potential to cavitation pump P-98747, PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Cavitation of pump P-98747; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential overfill of tank 5 with release of HCs and water to ground; Potential ignition and personnel impact | Deadhead of pump P-98747; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact",Node 45,4.0,1.0,2.0
FS9630,LO,Tier 1/2: Deterministic,High,Flow switch FS- 9630 low flow shutdown on pump P-5 with alarm,N/A,"12"" valve closed on suction to Transfer Pump P-5 or strainer plugs | 10"" valve closed on discharge of Transfer Pump P-5","Loss of flow to AGO to Transfer Pump P-5, potential cavitation and seal leak, release of AGO to atmosphere, potential ignition and personnel impact | Loss of flow to AGO from Transfer Pump P-5, potential deadhead and seal leak, release of AGO to atmosphere, potential seal fire from seal, personnel injury, environmental impact",Node 42,4.0,1.0,2.0
FSL18530,LO,Tier 1/2: Deterministic,High,Flow switch FSL- 18530/18550 low flow shutdown on pumps PM-95795A/B with alarm and operator response,N/A,Manual valve on tank outlet inadvertently closed. | LCV-19952 fails closed | Manual valve closed on suction of Pump PM-95795A/B or strainer plugs,"Potential to cavitation pump P-98747, PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to deadhead pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to cavitation pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact",Node 45,4.0,1.0,2.0
FSL18550,LO,Tier 1/2: Deterministic,High,Flow switch FSL- 18530/18550 low flow shutdown on pumps PM-95795A/B with alarm and operator response,N/A,Manual valve on tank outlet inadvertently closed. | LCV-19952 fails closed | Manual valve closed on suction of Pump PM-95795A/B or strainer plugs,"Potential to cavitation pump P-98747, PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to deadhead pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to cavitation pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact",Node 45,4.0,1.0,2.0
FSL58270,LO,Tier 1/2: Deterministic,High,Flow switch low FSL-58270 low flow shutdown on pump P- 19 with alarm,N/A,"4"" manual valve closed on suction of Pump P-74532 or strainer plugs | Manual valve closed on Discharge of Pump P-74532","No flow to Skimmer Pump P-74532, potential cavitation and seal leak, release of hydrocarbon to grade, potential seal or pool fire, potential personnel injury, environmental impact, asset damage | Blocked flow from Skimmer Pump P-74532, potential deadhead and seal leak, release of hydrocarbon to grade, potential seal or pool fire, potential personnel injury, environmental impact, asset damage",Node 45,4.0,1.0,2.0
LT47598,HI,Tier 1/2: Deterministic,High,High level alarm on LT-47598 on tank T- 5 will prompt operator response,N/A,LCV-99511/28130 malfunctions open or bypass valve inadvertently opened | P-98747 Discharge pump or PM-95795A/B Transfer Pump fails. | Manual valve on tank outlet inadvertently closed. | LCV-19952 fails closed | Manual valve closed on suction of Pump P-98747 or strainer plugs | Manual valve closed on Discharge of Pump P-98747 | Manual valve closed on suction of Pump PM-95795A/B or strainer plugs | Pump PM-95795A/B stops,"High flow of waste water to waste water tank T-5, however not enough city water pressure to result in an overfill of T-5; Potential to send grease out with the waste water from T-5; Potential environmental/financial impact | Potential to drain the Desalter D-81314/201, potential to send oil to the waste water system; Potential for Gulf Coast to require a shutdown | Potential overfill of tank 5 with release of HCs and water to ground; Potential ignition and personnel impact | Potential to cavitation pump P-98747, PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to deadhead pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Cavitation of pump P-98747; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Deadhead of pump P-98747; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact | Potential to cavitation pump PM-95795A/B; Potential seal failure; Release of HCs and water to ground; Potential ignition and personnel impact","Node 36, Node 45",4.0,2.0,2.0
LAH11320,HI,Tier 1/2: Deterministic,High,LAH- 11320/21320 High Level Alarm on PV- 102/202 Accumulator will prompt operator response,N/A,Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25,"Loss of Light Naphtha flow to storage, deadhead of overhead pump not expected as reflux continue to flow, Combi Tower Accumulator pressure vessel PV-56446/ 202 fills, potential to overfill accumulator to Recycle Compressor Suction Scrubber pressure vessel PV-60820/ 207 compressor suction drum and to compressor, compressor damage",Node 38,1.0,1.0,1.0
LAH21320,HI,Tier 1/2: Deterministic,High,LAH- 11320/21320 High Level Alarm on PV- 102/202 Accumulator will prompt operator response,N/A,Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25,"Loss of Light Naphtha flow to storage, deadhead of overhead pump not expected as reflux continue to flow, Combi Tower Accumulator pressure vessel PV-56446/ 202 fills, potential to overfill accumulator to Recycle Compressor Suction Scrubber pressure vessel PV-60820/ 207 compressor suction drum and to compressor, compressor damage",Node 38,1.0,1.0,1.0
LAH22501,HI,Tier 1/2: Deterministic,High,LAH- 22501/22502 redundant high level alarms on Sump TK- 201 will prompt operator response,N/A,"Manual valve open on hydrocarbon drain | Improper drainage of water boot for PV- 202 Accumulator | Hydrocarbon Sump Pump PM-43983A/B trips | Manual valve closed in Hydrocarbon Sump Pump PM-43983A/B discharge | Drain valve left open | High rate of flow from vacuum truck to sump | Reverse flow from Feed Tanks to sump | Send Y-Grade to sump (drain valve left open from pumps PM-33219A/B) | Drain valve left open sending hot material to sump | Trash in sump (for example from vacuum trucks) can plug pump screen or damage pump | 4"" Manual valve(s) closed on hydrocarbon header from one or both splitter towers","Potential to send feed to Hydrocarbon Sump TK-33219; Potential inefficient operation; Potential to overfill sump; Potential environmental impact; Potential release of hydrocarbon vapors; Potential ignition and personnel impact | Potential to send light naphtha to Hydrocarbon Sump TK- 201; Potential inefficient operation; Potential to overfill sump; Potential environmental impact; Potential release of hydrocarbon vapors; Potential ignition and personnel impact | Potential to overfill the Hydrocarbon Sump TK-33219, release through atmospheric vent; Potential runoff to stormwater drain (contained in Tank 5 Wastewater Tank); Potential environmental/financial impact | Hydrocarbon Sump Pump PM-43983A/B deadheaded, potential pump damage; Potential seal failure with potential ignition and personnel impact | Potential release through Hydrocarbon Sump TK-33219 vent; Potential ignition and personnel impact | Hydrocarbon Sump Pump PM-83821A/B or PM-43983A/B deadheaded, potential pump damage; Potential seal failure with potential ignition and personnel impact | Potential to overfill the Hydrocarbon Sump TK-81314/201, release through atmospheric vent; Potential runoff to stormwater drain (contained in Tank 5 Wastewater Tank); Potential environmental/financial impact","Node 19, Node 20, Node 21, Node 23, Node 31, Node 43",4.0,2.0,2.0
LAH22502,HI,Tier 1/2: Deterministic,High,LAH- 22501/22502 redundant high level alarms on Sump TK- 201 will prompt operator response,N/A,"Manual valve open on hydrocarbon drain | Improper drainage of water boot for PV- 202 Accumulator | Hydrocarbon Sump Pump PM-43983A/B trips | Manual valve closed in Hydrocarbon Sump Pump PM-43983A/B discharge | Drain valve left open | High rate of flow from vacuum truck to sump | Reverse flow from Feed Tanks to sump | Send Y-Grade to sump (drain valve left open from pumps PM-33219A/B) | Drain valve left open sending hot material to sump | Trash in sump (for example from vacuum trucks) can plug pump screen or damage pump | 4"" Manual valve(s) closed on hydrocarbon header from one or both splitter towers","Potential to send feed to Hydrocarbon Sump TK-33219; Potential inefficient operation; Potential to overfill sump; Potential environmental impact; Potential release of hydrocarbon vapors; Potential ignition and personnel impact | Potential to send light naphtha to Hydrocarbon Sump TK- 201; Potential inefficient operation; Potential to overfill sump; Potential environmental impact; Potential release of hydrocarbon vapors; Potential ignition and personnel impact | Potential to overfill the Hydrocarbon Sump TK-33219, release through atmospheric vent; Potential runoff to stormwater drain (contained in Tank 5 Wastewater Tank); Potential environmental/financial impact | Hydrocarbon Sump Pump PM-43983A/B deadheaded, potential pump damage; Potential seal failure with potential ignition and personnel impact | Potential release through Hydrocarbon Sump TK-33219 vent; Potential ignition and personnel impact | Hydrocarbon Sump Pump PM-83821A/B or PM-43983A/B deadheaded, potential pump damage; Potential seal failure with potential ignition and personnel impact | Potential to overfill the Hydrocarbon Sump TK-81314/201, release through atmospheric vent; Potential runoff to stormwater drain (contained in Tank 5 Wastewater Tank); Potential environmental/financial impact","Node 19, Node 20, Node 21, Node 23, Node 31, Node 43",4.0,2.0,2.0
LAH40004,HI,Tier 1/2: Deterministic,High,LAH- 40004/40104 high level shutdown on PV- 410/411 will close inbound valves SDV- 65015/47638,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
LAH40104,HI,Tier 1/2: Deterministic,High,LAH- 40004/40104 high level shutdown on PV- 410/411 will close inbound valves SDV- 65015/47638,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
SDV65015,HI,Tier 1/2: Deterministic,High,LAH- 40004/40104 high level shutdown on PV- 410/411 will close inbound valves SDV- 65015/47638,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
SDV47638,HI,Tier 1/2: Deterministic,High,LAH- 40004/40104 high level shutdown on PV- 410/411 will close inbound valves SDV- 65015/47638,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
LAH40007,HI,Tier 1/2: Deterministic,High,LAH- 40007/40107 high level alarm on PV- 410/411 will prompt operator response,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
LAH40107,HI,Tier 1/2: Deterministic,High,LAH- 40007/40107 high level alarm on PV- 410/411 will prompt operator response,N/A,"Lining up wrong Y-Grade Storage Sphere pressure vessel PV-13986/411 for unit production | Lining up correctly to truck rack, with wrong connection to return from truck rack. (Incorrect valve lineup to sphere)","Potential overfill of Y-Grade Storage Sphere pressure vessel PV-13986/411 to flare, potential to send liquids out of the flare. Potential personnel impacts. Potential environmental impact",Node 11,4.0,1.0,2.0
LAH10866,HI,Tier 1/2: Deterministic,High,LAH-10866 High Level Alarm on Naphtha Stabilizer Accumulator pressure vessel PV-81314 water boot will prompt operator response,N/A,"Naphtha Stabilizer Overhead Pump PM- 101A/B trips | Manual valve on suction line to Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed | Manual valve on discharge line from Naphtha Stabilizer Overhead Pump PM-81314A/B inadvertently closed | PCV-79326A fails open or bypass valve open | Large slug of water enters system in condensate | FCV-56093/18310 malfunctions open. | Both Wash Water Pumps PM-77069A/B on at the same time | LCV-99511/28130 fails closed or manual valve in water outlet line inadvertently closed. | Plugged exchanger EX-87095A/B/C or manual valve(s) on inlet/outlet of exchanger inadvertently closed | Plugged waste water cooler (AF-75469, AF- 209). | FCV-18721 malfunctions open or bypass valve inadvertently opened | 2"" manual valve on waste water (downstream of Mud Wash Pumps PM-35808B/C) inadvertently opened | Tank inlet line inadvertently closed.","Loss of flow of Y-Grade to storage, high level in Naphtha Stabilizer Accumulator pressure vessel PV-81314, potential to overfill Recycle Compressor Discharge Scrubber pressure vessel PV-75469 and send liquid to Hot Oil Furnace F-81314 fuel inlet, potential for damage of burners, heater firebox, potential explosion and personnel impact and damage with downtime greater than 52954 days | T-81314 Stabilizer pressure would drop; Potential liquid carryover to the PV-81314 Accumulator; Potential overfill PV-81314 and carryover to Recycle Compressor Discharge Scrubber PV-75469; Potential to overfill PV-75469 and send liquid to Hot Oil Furnace F- 101 fuel inlet, potential for damage of burners, heater firebox, potential explosion and personnel impact and damage with downtime greater than 52954 days | Potential to discharge water from desalter to the splitter process. Potential vaporization of water in downstream naphtha stabilizer and combi tower. Potential overpressure of T-81314/201, loss of containment, ignition and personnel impact | Potential build up of level in Desalter; Potential to discharge water from desalter to the splitter process. Potential vaporization of water in downstream naphtha stabilizer and combi tower. Potential overpressure of T-81314/201, loss of containment, ignition and personnel impact | Inadvertently route mud wash to the outlet of the Desalter D-81314/201, ultimately sending flow to the Stabilizer Towers T- 101/201; Potential vaporization of water in downstream naphtha stabilizer and combi tower. Potential overpressure of T-81314/201, loss of containment, ignition and personnel impact","Node 3, Node 9, Node 34, Node 35, Node 36, Node 37, Node 45",5.0,1.0,2.0
